Date,Filename,Batch Index,Was health discussed at any point during this transcript?,People that participated in discussions about health,Were there discussions about health data or health information systems at any point during this transcript?,Summary of discussions about health data or health information systems,What challenges did the discussions around health data or health information systems identify?,What recommendations were discussed to improve health service delivery?,What decisions or resolutions or policies or laws were made regarding financing the health sector?,What evidence was used to inform any decisions or recommendations or resolutions or policies or laws?,"What health information was requested or demanded, and who was it requested from?"
2016-11-30,147th-sitting-of-2016,1,Yes,"Hon (Ms) Akinyi, Hon Faraj, Hon Mohamed Hatimy, Hon Patrick Siminyu, Hon Jimmy Odari, Hon Wangudi Stephen, Hon Saad Faraj, Hon Ahmed Ebrahim Omar, Hon Nasser Rashid",No,"",The discussions identified the challenge of determining the jurisdiction and responsibility between the County Government and the National Government regarding issues like asbestos removal in schools.,"The recommendations included collaborating with the National Government to address the issue of asbestos in schools, ensuring proper allocation of funds for health and education, and amending laws to support health initiatives.",No decisions were made specifically related to the health sector.,The discussions were based on the health risks associated with asbestos and the need to prioritize health and safety in schools.,""
2016-11-30,147th-sitting-of-2016,2,Yes,"Hon (Ms) Akinyi, Hon Saad Faraj, Hon Mohamed Hatimy, Hon Ahmed Ebrahim Omar, Hon Nasser Rashid",No,"",The discussions identified a challenge in determining whether the responsibility for addressing asbestos roofing in public primary schools lies with the county government or the national government.,The participants recommended making amendments to the motion to address concerns about the financial implications of replacing asbestos roofing in schools and to coordinate with the national government for assistance.,No decisions were made regarding the health sector.,"",""
2016-12-01,148th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-12-01,148th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-12-01,148th-sitting-of-2016,2,No,"",No,"","","","","",""
2016-12-06,149th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-12-07,150th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-12-07,151st-sitting-of-2016,0,Yes,Swaleh Kibwana,No,"","","","","",Report of contaminated Dasani mineral water
2016-12-08,152nd-sitting-of-2016,0,Yes,"Hon Kibwana Swaleh, Hon Patrick Siminyu",No,"","","","","",""
2016-12-13,153rd-sitting-of-2016-1,0,Yes,"Hon Kibwana Swaleh Baya, Hon Mswabah Rashid, Hon Maimuna Salim Mwawasi, Hazel Koitaba",No,"","The presence of foreign matters in Dasani mineral water, concerns about human consumption",1. Clean-in-Place (CIP) should be done more often. 2. Coastal Bottlers Limited to comply with local standards for packaged water. 3. Vetting of distributors and compliance with storage standards. 4. Impromptu visits by KEBS and County Public Health Officers to ensure conformity with standards. 5. Organize periodic refresher courses for workers and ensure medical fitness. 6. Organize a trial run of the plant and have samples picked for analysis. 7. Continued endeavor to address similar health issues for public representation and welfare.,"","Physical examination by the Government Chemist revealed presence of foreign matter in Dasani water, Laboratory results from SGS found the product fit for human consumption, Analytical report from Ministry of Health confirmed unfitness for human consumption",""
2016-12-14,154th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-12-14,155th-sitting-of-2016,0,Yes,"Hon Zainab Ali Said, Hon Boma, Hon Chizi Chireri",No,"",Scarcity of public toilets in the County,Immediate and long-term measures to address the scarcity of public toilets in the County,"","",Information from the Chairman of the Committee on Health Services
2016-12-15,I56th-sitting-of-2016-1,0,No,"",No,"","","","","",""
2016-12-20,157th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-12-21,158th-sitting-of-2016,0,No,"",No,"","","The County government should consider employing additional firemen to enhance the staffing levels of fire stations in the County. There is a need to establish a County diving and rescue unit and manned with qualified personnel so as to handle any emerging rescue missions in the County and beyond. The firemen should be facilitated to undertake regular training and refresher courses in their specialist areas so as to be responsive to the County disaster needs. The Committee recommends the County to enter into Memorandum of Understanding (MOUs) with several stakeholders such as Mombasa Water Company, Kenya Pipeline, Kenya Ports Authority (KPA) and Kenya Refinery with a view to access water hydrants within the industrial areas. That during procurement of fire fighting and rescue equipment, officers from this unit be incorporated in the process/inspection so that the County can get value for money for the equipment being procured. The Committee also recommended that the Department in charge of County Fire fighting services to urgently supply the units with the three types of uniforms i.e ceremonial, protective gowns and working uniforms, safety boots, VHF communication gadgets, working gear such as breathing kits, gloves, soap, gas etc. No officer should be victimized or reprimanded for the engagement with Members of the Disaster Committee of the County Assembly of Mombasa, and that all warning letters to that effect arising from an earlier visit of a committee of the House be withdrawn. The Committee recommends that the Department in charge of County fire fighting services should urgently find modalities to compensate the fire fighters for working beyond the official normal working hours. This should be done either through cash or off days to the officers. The Committee also recommends that Kshs. 1,000/= risk allowance to the officers should be reviewed upwards in order to motivate the officers who are undertaking an important service to the County residents. The Committee recommends that the County government should explore modalities to improve on the officers access to medical care considering that they worked in very risky and hazardous environments. The Committee also recommends that thorough investigations be undertaken by the Lands department with regard to the encroachment of lands belonging to three fire stations in the County. The renting by IEBC of offices previously belonging to the fire station at Changamwe be investigated and a way forward be given. That an engagement forum between the Committee members and the leadership of fire stations be undertaken with a view to further engage and come up with tangible strategies and proposals on the way forward with regard to disaster management and fight fighting issues in the County. On 21st November, 2016 the Committee invited the Director of Inspectorate and we had a meeting on conditions of all fire stations and he had informed the committee members that he wrote to the Public Service Board on the employment of 50 staff and drivers due to the shortage of staff to the fire department.","","",""
2016-12-21,159th-sitting-of-2016,0,Yes,Mwakirunge residents,No,"","Lack of access to healthcare, hazardous living conditions, discrimination, vulnerability to violence","Equipped health centers near the dump site, Cost of treatment from dumpsite-related diseases to be scrapped off, Increase community health workers, Avail emergency and referral services for emergencies near the dumpsite, Avail rabies vaccine and specialized respiratory drugs, Regulate companies that dump at the site, Provide rescue and counseling services for girls raped at the dumpsite",Formation of an Ad hoc committee to look into the challenges and recommendations facing the Mwakirunge community,Memorandum of challenges and recommendations from Mwakirunge residents,Health services demands and recommendations
2016-12-21,159th-sitting-of-2016,1,Yes,Mwakirunge residents,No,"","Lack of access to healthcare, hazardous environment, discrimination, vulnerability to violence and abuse","Equipped health centers near the dump site, Cost of treatment from diseases relating to the dumpsite should be scrapped off, Increase community health workers and investigations on health issues, Avail emergency and referral services near the dumpsite, Provide rabies vaccine and specialized respiratory drugs, Regulate dumping methods, Provide rescue and counseling services for girls raped at the dumpsite",Formation of an ad hoc committee by the Environment Committee and Health Committee to address the challenges and recommendations facing Mwakirunge community,Petition and memorandum from Mwakirunge residents,""
2016-12-22,160th-sitting-of-2016,0,No,"",No,"","","","","",""
2017-02-01,10th-sitting-of-2017-1,0,No,"",No,"","","","","",""
2017-02-02,11th-sitting-of-2017,0,Yes,"Hon Kasangamba, Hon Ibrahim Kondo, Hon Mohamed Hatimy, Hon Wangudi",No,"",Shortage of water supply in Mombasa County due to decreased abstractions upstream by water service providers,"Balanced sharing of water resources with other counties, negotiations with water service providers, patrol of pipeline network","",Decrease in water supply percentage data presented,N/A
2017-02-03,12th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-02-03,12th-sitting-of-2017,1,No,"",No,"","","","","",""
2017-02-07,13th-sitting-of-2017,0,Yes,"Hon. Mwabashiri, Hon. Jimmy, Hon. Zainab Dharwesh, Hon. Abdallah Kasangamba, Hon. Lucy Chizi Chireri, Hon. Fadhili, Hon. Mwalimu, Hon. Wangudi",No,"",Lack of enforcement of laws related to cleanliness and waste management,"","",Observations and experiences shared by the Members during the discussions,No specific health evidence requested
2017-02-08,14th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-02-08,14th-sitting-of-2017,1,No,"",No,"","","","","",""
2017-02-08,15th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-02-09,16th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-02-15,18th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-02-15,19th-sitting-of-2017-1,0,Yes,"Hon. Mwalimu, Hon. Fadhili Fadhili Makarani, Hon. Jimmy Odari, Hon. Eng. Makori",No,"",Lack of proper response from the Environment Committee regarding health issues in Changamwe,"To provide healthcare services to community health workers without charging them fees, to address health issues affecting the people of Changamwe, and to have comprehensive reports on health-related matters","",Feedback and reports from community health workers and residents of Changamwe,""
2017-02-15,19th-sitting-of-2017-1,1,Yes,"Hon. Mwalimu, Hon Fadhili",No,"",Lack of hospital fee waivers for community health workers (CHW),Allow CHWs to receive medical treatment without charge or at a reduced rate,None,Request for data on the impact of hospital fees on CHWs,""
2017-02-16,20th-sitting-of-2017,0,Yes,"Hon. Mwalimu, Hon. Mwadziwe, Hon. Mwinga, Hon. Mary Akinyi, Hon. Kibwana Swaleh, Hon. Saad Faraj, Hon. Wangudi, Hon. Kizito Opeya",No,"","","Ensure doctors resume duties, provide professional guidance from consultants, involve key stakeholders in the development and validation of plans","",The status of health sector development projects as outlined in the County Integrated Development Plan and Annual Development Plan,""
2017-02-21,21st-sitting-of-2017,0,Yes,"Hon. Ms. Akinyi, Hon. Jimmy Odari, Hon. Fadhili Makarani, Hon. Ibrahim Kondo, Hon. Duncan Onyango, Hon. Steven Wangudi, Hon. Ahmed Ebrahim Omar, Hon. Mohamed Madundo, Hon. Faraj",No,"",N/A,"To resolve ongoing road works affecting drainage system, water supply, and posing health risks","To come up with proper mitigation measures to safeguard the health, safety, and well-being of residents",Constitution of Kenya 2010,N/A
2017-02-22,22nd-sitting-of-2017,0,No,"",No,"","","","","",""
2017-02-22,23rd-sitting-of-2017,0,Yes,"Hon Jimmy Odari,Hon Meti,Hon Amur,Hon Ibrahim Kondo,Hon Fadhili,Hon Mwalimu,Hon Wangudi,Hon Siminyu Muriuki",No,"","Dust affecting residents' health, closure of businesses, water supply interference, sewage system issues, street light disruptions, loss of employment","Proper mitigation measures for health risks, safeguarding health, safety, and well-being of residents",Resolve for County government to come up with mitigation measures,"Negative effects on health and well-being of residents, disruption of services like water supply and sewage system",""
2017-02-22,23rd-sitting-of-2017,1,Yes,"Hon Odari, Hon Meti, Hon Amur",No,"","Negative effects of road construction on residents' health, mood, businesses, water supply, and sewage system","Mitigation measures to curb negative effects and safeguard health, safety, and well-being of residents",Resolution for the County government to work with the national government to come up with proper mitigation measures,"Residents' health concerns, negative effects observed",""
2017-02-23,24th-sitting-of-2017,0,Yes,"Hon Murfad Amur, Hon (Ms) Fatma Swaleh, Hon Mary Akinyi, Chief Whip (Hon. Ebrahim Omar), Hon Kibwana Swaleh, Hon Thoya, Hon Fadhili Mwalimu, Hon (Ms) Zainab Kithinzi",No,"",The challenges around health data were not discussed in the transcript.,There were recommendations regarding the lack of proper lighting in Kongowea Market to improve health service delivery.,No specific decisions were made regarding financing the health sector in the transcript.,No specific evidence was mentioned in the transcript.,""
2017-02-28,25th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-02-28,25th-sitting-of-2017,1,No,"",No,"","","","","",""
2017-03-01,26th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-03-01,27th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-03-07,29th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-03-08,30th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-03-08,31st-sitting-of-2017,0,No,"",No,"","","","","",""
2017-03-09,32nd-sitting-of-2017,0,No,"",No,"","","","","",""
2017-03-14,33rd-sitting-of-2017,0,No,"",No,"","","","","",""
2017-03-15,34th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-03-15,35th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-03-16,36th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-03-21,37th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-03-22,38th-sitting-of-2017,0,No,"",Yes,"The Motion discussed the inclusion of ICT Hubs in village polytechnics to enhance learning and accessibility for students and the wider public, especially women and youth.",No specific challenges identified in the discussion.,Equip all village polytechnics with ICT Hubs to improve access to digital education for all citizens.,No specific decisions made regarding financing the health sector.,"The evidence used to inform the discussion was the need to embrace technology and enhance digital education for all citizens, especially in rural areas.",No specific health information was requested in the transcript.
2017-03-22,39th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-03-22,39th-sitting-of-2017,1,No,"",No,"","","","","",""
2017-03-23,40th-sitting-of-2017,0,Yes,"Hon Fadhili Makarani, Hon Mwalimu, Hon Amur, Hon Jimmy Odari, Hon Saad Faraj, Hon Zainab Mumba, Hon Mwinga, Hon Mary Akinyi, Hon Amir Thoya, Hon Patrick Siminyu",No,"",N/A,"To provide financial support to Community Health Workers (CHWs) in Mombasa County by reducing or waiving hospital fees, establishing a database for CHWs, and subsidizing or reducing hospital fees for CHWs","County government urged to remove street families, street children, and beggars within Mombasa County","Discussion on the challenges and risks faced by CHWs, impact of CHWs on health services, and improvement in health services due to CHWs",""
2017-03-23,40th-sitting-of-2017,1,Yes,"Hon Fadhili Makarani, Hon Mwalimu, Hon Amur, Hon Jimmy Odari, Hon Saad Faraj, Hon Zainab Mumba, Hon Mwinga, Hon Mary Akinyi, Hon Amir Thoya, Hon Patrick Siminyu",No,"",The issue of scarcity of water in Mombasa County,"Remove street families, children, and beggars within Mombasa County","County government urged to remove street families, street children, and beggars within Mombasa County","Observations of the water scarcity issue in Mombasa County, discussions on the challenges faced by health workers in providing care",""
2017-03-28,41st-sitting-of-2017,0,No,"",No,"","","","","",""
2017-03-29,43rd-sitting-of-2017,0,No,"",No,"","","","","",""
2017-03-30,44th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-04-18,45th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-04-25,46th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-05-02,47th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-05-03,48th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-05-03,49th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-05-04,50th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-05-09,51st-sitting-of-2017,0,No,"",No,"","","","","",""
2017-05-10,52nd-sitting-of-2017,0,Yes,Hon. Mwi nga,No,"","","","","",Reports on destruction and deaths from heavy rainfall in Mombasa County
2017-05-10,53rd-sitting-of-2017,0,No,"",No,"","","","","",""
2017-05-11,54th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-05-16,55th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-05-17,56th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-05-17,57th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-05-18,58th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-05-23,59th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-05-24,60th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-05-24,61st-sitting-of-2017,0,No,"",No,"","","","","",""
2017-05-25,62nd-sitting-of-2017,0,No,"",No,"","","","","",""
2017-05-30,63rd-sitting-of-2017,0,Yes,"Hon. Mary Akinyi, Hon. Jimmy Odari, Hon. Wangudi, Hon. (Ms.) Zainab Kithinzi, Hon. Patrick Siminyu, Hon. Jimmy Odari",No,"","Chronic water shortage in Changamwe Ward, Lack of sufficient water resources, High cases of Dengue fever and malaria","Drilling boreholes in Changamwe Ward to alleviate water shortage, Urgent and well-calculated solutions for water problems, Committee on Implementation to expedite implementation of water projects",Passed Motion to drill boreholes in Changamwe Ward to alleviate water shortage,"Chronic water shortage in Changamwe Ward, Need for boreholes to provide water for domestic and commercial purposes, Cases of Dengue fever and malaria",""
2017-05-31,64th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-05-31,65th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-06-06,66th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-06-07,68th-Sitting-of-2017,0,No,"",No,"","",The County government of Mombasa should expedite the process of disbursing funds allocated for bursaries to respective schools and colleges/universities.,"","",None
2017-06-08,69th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-06-13,70th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-06-13,70th-sitting-of-2017,1,No,"",No,"","","","","",""
2017-06-14,71st-Sitting-of-2017,0,No,"",Yes,"Discussions were held on the Mombasa County Tax Waiver and Variation Bill, 2015, including regulations for tax waivers and variations.",No specific challenges identified.,No recommendations discussed.,"Decisions regarding tax waivers and variations were made as per the Mombasa County Tax Waiver and Variation Bill, 2015.",The discussions were based on the provisions of the legislation and the need for transparency in the administration of taxes and revenue.,""
2017-06-15,73rd-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-06-22,77th-sitting-of-2017,0,No,"",No,"","","","","",""
2017-09-06,1st-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-09-06,1st-Sitting-of-2017-1,0,No,"",No,"","","","","",""
2017-09-26,2nd-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-09-26,3rd-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-09-27,4th-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-09-28,5th-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-10-03,6th-Sitting-of-2017,0,Yes,"Hon. Dr. William Kazungu Kingi, Hon. Hamisi Mwidani, Hon. Kitula, Hon. Amur, Hon. Ramla Said Omar, Hon. Lucy Chizi Chireri, Hon. Robert Nyiro",No,"","Lack of legislation for youth employment, limitations on experience requirements for job applications, lack of consideration for Persons Living with Disabilities (PWDs) in employment and empowerment efforts","Enforcement of legislation for youth employment, addressing experience requirements for job applications, inclusion of PWDs in employment and empowerment efforts, engagement of PWDs in environmental initiatives, provision of public toilets for PWDs, inclusion of PWDs in health insurance recommendations, ensuring proper facilities and education for PWDs, supporting PWD entrepreneurs, providing infrastructure for PWD mobility, and considering PWDs in urban planning, housing development, and land management","",Discussions and speeches on the challenges faced by youth and Persons Living with Disabilities and recommendations for their empowerment and inclusion in various sectors,""
2017-10-03,6th-Sitting-of-2017,1,No,"",No,"","","","","",""
2017-10-04,7th-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-10-04,7th-Sitting-of-2017,1,Yes,"Hon. Kibwana Swaleh, Hon. (Ms.) Mbura, Hon. Mwaka Bakari, Hon. (Ms.) Ngare",No,"","Lack of infrastructure and traffic congestion, challenges in healthcare services for women in Mwakirunge, lack of water access in Timbwani","Improving healthcare infrastructure, addressing traffic congestion issues, providing water access in Timbwani, establishing early childhood education centers, training and motivating educators in ECDE, improving security for children in schools",No specific decisions mentioned,Anecdotal evidence based on challenges faced in the discussed areas,""
2017-10-04,8th-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-10-04,8th-Sitting-of-2017,1,No,"",No,"","","","","",""
2017-10-05,9th-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-10-10,10th-Sitting-of-2017,0,Yes,"Samba, Hamida, Abrari, Rosemary",No,"","Lack of midwives and healthcare facilities, fistula condition in women","Improve facilities in hospitals, address fistula condition, provide better healthcare assistance",No specific decisions made,Personal experiences and observations,""
2017-10-10,10th-Sitting-of-2017,1,Yes,"Hon. Samba, Hon. Hamida, Hon. Abrari, Hon. Rosemary",No,"",Lack of midwives and healthcare facilities in Mombasa leading to difficulties in childbirth and healthcare access.,"Improvement of healthcare facilities, recruitment of midwives, and emphasis on maternal healthcare.","",Experiences and observations shared by individuals during the discussions.,""
2017-10-10,10th-Sitting-of-2017,2,Yes,"Samba, Mwalimu Mgwisho, Hamida, Abrari, Mukavi",No,"","","","","",Assistance for women facing health issues during childbirth
2017-10-11,11th-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-10-11,12th-Sitting-of-2017,0,Yes,"Kibwana Swaleh Baya, Fatuma Swaleh Mote, Francis Kombe Nzai, Kizito Okoth Opeya, Lucy Chizi Chireri, Fahad Kassim Abdalla, Murfad Abdalla Amur, Fadhili Mwalimu Makarani, Hamisi Musa Mwidani",No,"","","","","",None
2017-10-12,13th-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-10-17,14th-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-10-17,14th-Sitting-of-2017,1,No,"",No,"","","","","",""
2017-10-18,15th-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-10-18,16th-Sitting-of-2017,0,Yes,"Mrs. Hazel Koitaba, Ms. Fatma Awale",No,"","","","","",""
2017-10-19,17th-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-11-09,SPECIAL-SITTING,0,No,"",No,"","","","","",""
2017-11-09,SPECIAL-SITTING,1,No,"",No,"","","","","",""
2017-11-14,18th-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-11-15,19th-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-11-15,20th-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-11-15,20th-Sitting-of-2017,1,No,"",Yes,Discussions were held on enforcing the 30 percent rule on employment within the county to ensure the employment of local residents of Mombasa in businesses.,"Challenges identified include industries and businesses in the county not necessarily employing local residents, especially the youth, leading to continued poverty.","","","",No specific health information was requested.
2017-11-15,20th-Sitting-of-2017,2,No,"",No,"","","","","",""
2017-11-16,21st-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-11-21,22nd-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-11-29,23rd-Sitting-of-2017,0,Yes,"Hon. Kibwana Swaleh, Hon. Moses Aran, Hon. Renson Thoya",No,"","","","",None,""
2017-11-29,24th-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-11-30,25th-Sitting-of-2017,0,Yes,"Hon. Ali Shariff, Hon. Ali Mohamed Shomari, Hon. Mary Naliaka, Hon. (Ms.) Wafula, Hon. Shebe Salim, Hon. Aran Moses, Hon. Oindo",No,"","",Enrolling underperforming students in vocational institutions,None,Discussion and plans for enrolling underperforming students in vocational institutions,""
2017-12-05,26th-Sitting-of-2017,0,Yes,"Hon. Fahad Kassim, Hon. Mwaka Bakari, Hon. Moses Aran Oindo, Hon. Kitula, Hon. Tobias Samba, Hon. Fahad Abdallah, Hon. Nzai, Hon. Kibwana Swaleh, Hon. Shebe Salim",No,"",Poor maintenance causing clogging and overflowing of drainage sewers leading to environmental crisis and communicable diseases,"Ban hawking and selling of food, ban hawking of bottled water, ban food outsourced from unlicensed suppliers, register and license hotel workers and vendors, test and treat water sources, distribute water treatment chemicals, appoint multi-sectoral task force, set up Cholera Treatment Centers",N/A,Cases of cholera outbreak and measures taken by the Department of Health,""
2017-12-06,28th-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-12-06,28th-Sitting-of-2017,1,No,"",No,"","","","","",""
2017-12-06,28th-Sitting-of-2017,2,No,"",No,"","","","","",""
2017-12-07,29th-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-12-07,29th-Sitting-of-2017,1,No,"",No,"","","","","",""
2017-12-19,30th-Sitting-of-2017,0,No,"",No,"","","","","",""
2017-12-19,30th-Sitting-of-2017,1,No,"",No,"","","","","",""
2017-12-19,30th-Sitting-of-2017,2,No,"",No,"","","","","",""
2018-02-13,1st-Sitting-of-2018,0,Yes,Hon. Aharub Ebrahim Khatri,No,"","","Be mindful of rules and procedures, understand Standing Orders and laws, adapt to changing needs","","",None
2018-02-14,2nd-Sitting-of-2018,0,Yes,Kibwana Swaleh,No,"","","","","",""
2018-02-14,3rd-Sitting-of-2018,0,Yes,"Hon. Ahmed Khamis, Hon. Ramla Omar, Hon. Ibrahim Omondi, Hon. Fatma Kushe, Hon. Mohamed Hatimy, Hon. Ali Shariff, Hon. Mwamwiri, Hon. Ali Shariff, Hon. Renson Thoya, Hon. Amriya Juma, Hon. Raphael Bwire, Hon. Nyiro, Hon. Feddis Mbura, Hon. Milka, Hon. Ahmed Khamis",No,"",N/A,Suspend enforcement measures against goat keepers in Majengo/Mwembe Tayari Ward until discussions are held and an amicable resolution is reached,Suspend enforcement measures against goat keepers in Majengo/Mwembe Tayari Ward until discussions are held and an amicable resolution is reached,Reports of enforcement measures against innocent and law-abiding goat keepers,""
2018-02-15,4th-Sitting-of-2018,0,No,"",No,"","","","","",""
2018-02-20,5th-Sitting-of-2018,0,No,"",No,"","","","","",""
2018-02-22,6th-Sitting-of-2018,0,No,"",No,"","","","","",""
2018-02-22,Sitting-of-2018,0,No,"",No,"","","","","",""
2018-03-01,6th-Sitting-of-2018-1st-March18,0,No,"",No,"","","","","",""
2018-03-01,6th-Sitting-of-2018-1st-March18,1,No,"",No,"","","","","",""
2018-03-07,8th-Sitting-of-2018,0,Yes,"Hon. Kibwana Swaleh, Hon. Mohamed Hatimy, Hon. Fatma Kushe, Khamisi Mwidani, Kizito Opeya, Lucy Chizi, Fahad Kassim, Murfad Amur, Hon. Moses Aran, Hon. Thoya, Hon. Mwaka Zahoro, Hon. Nzai, Hon. Kitula",No,"",N/A,"Employ more Public Health Officers and Vector Control Officers, Community sensitization and advocacy, Regular maintenance of machines",N/A,N/A,N/A
2018-03-07,9th-Sitting-of-2018,0,No,"",No,"","","","","",""
2018-03-09,10th-Sitting-of-2018,0,No,"",No,"","","","","",""
2018-03-13,11th-Sitting-of-2018,0,No,"",No,"","","","","",""
2018-03-14,12th-Sitting-of-2018,0,No,"",No,"","","","","",""
2018-03-14,12th-Sitting-of-2018,1,No,"",No,"","","","","",""
2018-03-14,13th-Sitting-of-2018-14th-March-18,0,Yes,"Hon. Athman Mwamwiri, Hon. Chief Whip (Hon. Kitula), Hon. Shebe Salim, Hon. Lucy Chizi",No,"","Insufficient youth-friendly health facilities, spike in youth drug abuse, lack of rehabilitation centers with youth-friendly services",1. Establish youth-friendly health services for addressing drug abuse and addiction. 2. Construct at least one rehabilitation center in each Sub-County. 3. Provide training in entrepreneurship skills and job opportunities for drug recovery.,"",Not specified,""
2018-03-14,13th-Sitting-of-2018-14th-March-18,1,Yes,"Hon. Athman Mwamwiri, Hon. Chief Whip (Hon. Kitula), Hon. Kibwana Swaleh, Hon. Kombe Nzai, Hon. Tobias Samba, Hon. Shebe Athman, Hon. Lucy Chizi",No,"","Lack of youth-friendly health services and facilities to combat drug abuse, spike in youth drug abuse leading to criminal gangs, inadequate rehabilitation centers",1. County government to come up with youth-friendly health services for drug abuse and addiction. 2. Construct at least one rehabilitation center in each Sub-County. 3. Train drug recovery individuals on entrepreneurship skills and provide start-up capital and job opportunities.,"","",""
2018-03-20,15th-Sitting-of-2018-20th-March-18,0,Yes,"Hon. Ibrahim Omondi, Hon. Mwalimu, Hon. Fatuma Swaleh, Hon. Fahad Kassim, Chief Whip, Hon. Feddis Mbura, Hon. Ramla, Hon. Raphael Bwire, Hon. Leila, Hon. Amriya, Hon. Benard, Hon. Ogutu, Hon. Mwamwiri",No,"",Garbage collection challenges at the County level,"Establishing a Ward waste management committee, transferring waste management to Ward level",Resolve to transfer waste management to Ward level,"Constitution of Kenya, 2010 (Fourth Schedule)",""
2018-03-21,16th-Sitting-of-2018-21st-March-18,0,No,"",No,"","","","","",""
2018-03-21,17th-Sitting-of-2018-21st-March-18,0,No,"",No,"","","","","",""
2018-03-22,18th-Sitting-of-2018,0,No,"",No,"","","","","",""
2018-03-27,19th-Sitting-of-2018,0,No,"",No,"","","","","",""
2018-04-10,20th-Sitting-of-2018,0,Yes,Hon. Mohamed Hatimy,No,"","","","","Constitution of Kenya, 2010",None
2018-04-11,21st-Sitting-of-2018,0,No,"",No,"","","","","",""
2018-04-18,26th-Sitting-of-2018,0,No,"",No,"","","","","",""
2018-04-19,27th-Sitting-of-2018,0,No,"",No,"","","","","",""
2018-05-02,29th-Sitting-of-2018,0,No,"",No,"","","","","",""
2018-05-03,30th-Sitting-of-2018,0,No,"",No,"","","","","",""
2018-05-08,31st-Sitting-of-2018,0,No,"",No,"","","","","",""
2018-05-08,31st-Sitting-of-2018,1,No,"",No,"","","","","",""
2018-05-09,32nd-Sitting-of-2018,0,No,"",No,"","","","","",""
2018-05-09,33rd-Sitting-of-2018,0,Yes,"Hon. Robert Nyiro, Hon. Charles Kitula",No,"","",Establishment of a medical scheme for the elderly in the county,"Resolution to establish a medical scheme for the elderly in the county, collaboration with NHIF to benefit the elderly","Challenges faced by the elderly in accessing affordable medical care, the national government's free medical cover for elderly above 70 years, lack of proper medical scheme or initiative for the elderly in the county",""
