transcript_date,health_discussed,health_discussed_people_names,health_data_information_systems_discussed,health_data_information_systems_summary,health_data_challenges,health_service_delivery_improvement_recommendations,health_sector_decisions,health_evidence_base,health_evidence_requested,filename
"May 30 , 2018",No,,No,,,,,,,39th-Sitting-of-2018_0
"March 10, 2016",No,,No,,,,,,,32th-sitting-of-2016_0
"December 7, 2017",No,,No,,,,,,,29th-Sitting-of-2017_1
"Thursday, 10th November, 2016",No,,No,,,,,,,136th-Sitting-of-2016_1
"June 29, 2020",No,,No,,,,,,,23rd-Sitting-of-2020-1_2
"January 26, 2016",No,,No,,,,,,,5th-sitting-of-2016_0
"Tuesday , 26th October, 2021",No,,No,,,,,,,112th-Sitting-of-2021_0
"February 27 , 2019",No,,No,,,,,,,10th-Sitting-of-2019_0
"June 14, 2017",No,,Yes,"Discussions were held on the Mombasa County Tax Waiver and Variation Bill, 2015, including regulations for tax waivers and variations.",No specific challenges identified.,No recommendations discussed.,"Decisions regarding tax waivers and variations were made as per the Mombasa County Tax Waiver and Variation Bill, 2015.",The discussions were based on the provisions of the legislation and the need for transparency in the administration of taxes and revenue.,,71st-Sitting-of-2017_0
"January 22 , 202 1",No,,No,,,,,,,First-Special-Sitting-2021_0
"June 26, 2019",No,,No,,,,,,,48th-Sitting-of-2019_0
"Thursday, 27th September, 2018",No,,No,,,,,,,75th-Sitting-of-2018_0
"April 12, 2016",No,,Yes,"The discussions focused on the Integrated Strategic Urban Development Plan -2035 (ISUD PLAN -2035) for Mombasa, which is a collaborative effort between the national government, County Government of Mombasa, and donors, including the World Bank. The plan aims to address socio-economic and physical challenges faced by the city, improve quality of life, and enhance service delivery to citizens.","The challenges identified include socio-economic and physical challenges faced by the city, a wide gap between Mombasa and other cities, managing obligations towards city development, pressure on physical facilities and infrastructure, increasing population, rural-urban migration, low revenue collection, and the need for smart planning.",,The County Assembly approved the adoption and implementation of the ISUD PLAN -2035. The County government of Mombasa was authorized to carry out the Integrated Strategic Urban Development Plan within Mombasa County.,"Research, consultation with consultants and local partners, input from stakeholders and the public, and considerations based on the Kenya Municipal Program and County Governments Act, 2012.",,49th-sitting-of-2016_1
"September 25, 2019",No,,No,,,,,,,86th-Sitting-of-2019_0
"March 4 , 2020",No,,No,,,,,,,11th-Sitting-of-2020_1
"September 28, 2017",No,,No,,,,,,,5th-Sitting-of-2017_0
"March 20, 2019",No,,No,,,,,,,18th-Sitting-of-2019_0
"Wednesday, 20th September, 2023",No,,No,,,,,,,67th-Sitting-of-2023_0
"September 7, 2016",No,,No,,,,"Authorization to utilize Kshs. 1,006,577 for Governor’s office rent in Nairobi",,,97th-sitting-of-2016_0
"March 21 , 2019",No,,No,,,,,,,20th-Sitting-of-2019_0
"November 1 , 2016",No,,No,,,,,,,129th-sitting-of-2016_0
"April 3, 2019",No,,No,,,,,,,27th-Sitting-of-2019_0
"January 26, 2023",No,,No,,,,,,,Fourth-Special-Sitting-January-2023_1
"April 24, 2019",No,,No,,,,,,,35th-Sitting-of-2019_0
"September 27, 2017",No,,No,,,,,,,4th-Sitting-of-2017_0
"March 23, 2022",No,,No,,,,,,,27th-Sitting-of-2022_0
"February 28 , 202 3",No,,No,,,,,,,14th-Sitting-of-2023_1
"March 20, 2019",No,,No,,,,,,,19th-Sitting-of-2019_0
"October 6, 2016",No,,No,,,,,,,117th-sitting-of-2016_0
"March 4, 2020",Yes,"KIBWANA SWALEH, IBRAHIM OMONDI, RENSON THOYA",No,,Residents of the county concerned about the Corona virus outbreak,,,Concerns and reports of a suspected case of Corona virus,,12th-Sitting-of-2020_1
"June 30, 2020",Yes,"Hon. Mohamed Hatimy, Hon. Charles Kitula",No,,No challenges identified,No recommendations mentioned,Decisions were made regarding donor funds allocation in the Health Services sector,Budget estimates and donor funds allocation,,25th-Sitting-of-2020_0
"August 17, 2016",No,,No,,,,,,,86th-sitting-of-2016_0
"February 16, 2016",No,,No,,,,,,,17th-sitting-of-2016_0
"July 28, 2016",No,,No,,,,,,,80th-sitting-of-2016_1
"November 8 , 2016",No,,No,,,,,,,133rd-sitting-of-2016_0
"March  1, 2023",No,,No,,,,,,,16th-Sitting-of-2023_0
"May 9 , 2019",No,,No,,,,,,,42nd-Sitting-of-2019_0
"November 29 , 202 3",No,,No,,,"Establishment of fish markets, procurement of fishing boats and ships, training programs in fishing techniques, creation of fish ponds and containers, construction of fish hatcheries, establishment of cold storage facilities, financial support to fishermen, entrepreneurs, and youth",,,,100th-Sitting-of-2023_1
"March 11, 2020",No,,No,,,,,,,16th-Sitting-of-2020-1_0
"February 3, 2016",No,,No,,,,,,,10th-sitting-of-2016_0
"June 27, 2018",Yes,Hon. Nyiro,No,,,Establishment of Medical Scheme for the Elderly in the County of Mombasa,,Debate on the need for a medical scheme for the elderly in Mombasa County,N/A,48th-Sitting-of-2018_0
"November 16, 2016",Yes,Hon Mohamed Ibrahim,No,,Lack of medical insurance for the vast majority of County government employees,,"Invitation to the launch of Afya Elimu Fund on November 17, 2016",Letter from the County government of Mombasa regarding the Afya Elimu Fund invitation,Information on medical scheme for County government employees,139th-sitting-of-2016_0
"October 19, 2016",No,,No,,,,,,,123rd-sitting-of-2016_0
"July 17, 2019",No,,No,,,,,,,61st-Sitting-of-2019_1
"March 15 , 201 7",No,,No,,,,,,,35th-sitting-of-2017_0
"June 18, 2019",No,,No,,,,,,,43rd-Sitting-of-2019_0
"April 29, 2016",No,,No,,,,,,,53rd-special-sitting-of-2016_0
"October 25, 2016",No,,No,,,,,,,125th-sitting-of-2016_1
"July 1, 2020",Yes,"Hon. Amriya Juma, Hon. Charles Kitula, Hon. Raphael Bwire, Hon. Thoya, Hon. Hamida, Hon. Nyiro, Hon. Milka, Hon. Mwamwiri, Hon. Aran, Hon. Naliaka, Hon. Ngare, Hon. Bwire, Clerk",No,,"The rise in teenage pregnancies, impact on girls' education, parents' responsibilities","Roles of teachers, parents, and government in educating and protecting girls, need for sex education in schools",Committees tasked to provide a comprehensive report for debate,"Media reports, personal anecdotes shared by Members",,27th-Sitting-of-2020_0
"Tuesday 23rd October, 2018",No,,No,,,,,,,86th-Sitting-of-2018_0
"February 28, 2023",No,,No,,,,,,,13th-Sitting-of-2023_0
"March 9, 2017",No,,No,,,,,,,32nd-sitting-of-2017_0
"March 13, 2019",No,,No,,,,,,,14th-Sitting-of-2019_0
"March 17, 2020",Yes,Hon. Members,No,,"Lack of awareness in villages, language barriers, hospital bills for recovered patients","Provide financial assistance for recovered patients, decongest hospitals, expedite burial processes for deceased individuals",Adjournment of the County Assembly due to COVID-19 pandemic,"COVID-19 spread statistics, challenges in hospitals, burial traditions",,17th-Sitting-of-2020-1_0
"June 6, 2023",No,,No,,,,,,,38th-Sitting-of-2023_0
"February 14, 2023",No,,No,,,,,,,6th-Sitting-of-2023_0
"March 29, 2022",No,,Yes,Discussions were held regarding the status of boats donated by Jomvu Beach Management Unit and the County government's role in overseeing the use of the boats.,Concerns raised about boats donated by the County government being operated in Kilifi County without proper agreements or oversight.,,,,Information on the financial status and transactions related to the boats donated by the County government was requested.,29th-Sitting-of-2022_0
"December 8, 2016",Yes,"Hon Kibwana Swaleh, Hon Patrick Siminyu",No,,,,,,,152nd-sitting-of-2016_0
"July 27 , 201 6",No,,No,,,,,,,78th-sitting-of-2016_0
"July 17 , 2018",No,,No,,,,,,,51st_Sitting_of_2018_updted_0
"July 31, 2018",No,,No,,,,,,,59th_Sitting_of_2018_updted_1
"March 14, 2019",No,,No,,,,,,,16th-Sitting-of-2019_1
"September 1, 2016",No,,No,,,,,,,96th-sitting-of-2016_0
"November 30 , 202 2",No,,No,,,,,,,19th-Sitting-of-2022_0
"May 4, 2017",No,,No,,,,,,,50th-sitting-of-2017_0
"October 26, 2016",No,,No,,,,,,,127th-sitting-of-2016_0
"September 27, 2023",No,,No,,,,,,,70th-Sitting-of-2023_0
"February 22, 2018",No,,No,,,,,,,Sitting-of-2018_0
"Thursday, 27th June, 2019",Yes,Senior Doctor Dr. Kadruana,No,,,"Upgrade Coast General Hospital to Level Six, equip with modern facilities and enough drugs, improve services in Mashinani hospitals",Adoption of the report on the Coast General Teaching and Referral Hospital Order 2019,"Site visit at Coast General Hospital where drugs were seen, assurance of availability of drugs at the hospital",,50th-Sitting-of-2019_0
"February 2 , 2017",Yes,"Hon Kasangamba, Hon Ibrahim Kondo, Hon Mohamed Hatimy, Hon Wangudi",No,,Shortage of water supply in Mombasa County due to decreased abstractions upstream by water service providers,"Balanced sharing of water resources with other counties, negotiations with water service providers, patrol of pipeline network",,Decrease in water supply percentage data presented,N/A,11th-sitting-of-2017_0
"July 31, 2019",No,,No,,,,,,,69th-Sitting-of-2019_2
"March 28, 2023",Yes,"Hon. Amriya Juma, Hon. Juma Mwalimu, Hon. Leila Nyache, Hon. Abdulrahman Hawaa, Hon. Shuhudia Abdalla, Hon. Baimu Mariam, Hon. Nusura Mwinyi, Hon. Eliud Kimari, Hon. Juma Manuari, Hon. Mwaura",No,,"The Coast General Hospital needs renovation, revamping, improvement, and expansion to offer better services due to old and worn-out structures, high human traffic causing delays, overcrowding, patients sharing beds, and lack of ISO Certification and world-class healthcare practices.","The recommendation is for the County government of Mombasa in partnership with the National government to source funds to renovate, revamp, and expand the Coast General Hospital, and to take measures to attain ISO Certification to enhance the quality of services for the public.",,"Observations of the old and worn-out structures, high human traffic causing delays and overcrowding at the hospital, the need for renovation and expansion to offer better healthcare services, and the importance of ISO Certification for improved quality of services.",,22nd-Sitting-of-2023_0
"February 13 , 2018",Yes,Hon. Aharub Ebrahim Khatri,No,,,"Be mindful of rules and procedures, understand Standing Orders and laws, adapt to changing needs",,,None,1st-Sitting-of-2018_0
"December 3, 2019",No,,No,,,,,,,115th-Sitting-of-2019_0
"Thursday, 27th September, 2018",Yes,"Mr. Alphonce Mrima, Leader of Majority (Hon. Mwidani), Hon. Feddis Mbura",No,,N/A,N/A,N/A,N/A,N/A,75th-Sitting-of-2018_1
"July 20, 2016",No,,No,,,,,,,75th-sitting-of-2016_0
"March 23, 2017",Yes,"Hon Fadhili Makarani, Hon Mwalimu, Hon Amur, Hon Jimmy Odari, Hon Saad Faraj, Hon Zainab Mumba, Hon Mwinga, Hon Mary Akinyi, Hon Amir Thoya, Hon Patrick Siminyu",No,,N/A,"To provide financial support to Community Health Workers (CHWs) in Mombasa County by reducing or waiving hospital fees, establishing a database for CHWs, and subsidizing or reducing hospital fees for CHWs","County government urged to remove street families, street children, and beggars within Mombasa County","Discussion on the challenges and risks faced by CHWs, impact of CHWs on health services, and improvement in health services due to CHWs",,40th-sitting-of-2017_0
"October 31, 2023",Yes,"Hon. Ogutu, Hon. Makanga, Hon. Omondi, Hon. Kai, Hon. Frankline Makanga, Hon. Athman Mwamwiri, Hon. Ibrahim Omondi, Hon. Hamisi Mbaya, Hon. Samuel Mwaura",No,,"Lack of title deeds for learning institutions and healthcare facilities, encroachments on land, security concerns, hampered operations","Issuance of title deeds to protect and secure essential healthcare facilities, collaboration between County government, Department of Lands, Housing and Urban Planning, and National Land Commission",Resolution to ensure learning institutions and healthcare facilities are issued with title deeds,Task Force on Healthcare Systems report,,83rd-Sitting-of-2023_0
"September 7 , 2016",No,,No,,,,,,,98th-sitting-of-2016_0
"September 5, 2023",No,,No,,,,,,,59th-Sitting-of-2023_1
"October 4, 2017",No,,No,,,,,,,7th-Sitting-of-2017_0
"February 13 , 2019",No,,No,,,,,,,2nd-Sitting-of-2019_0
"Wednesday, 28th November, 2018",No,,No,,,,,,,100th-Sitting-of-2018_0
"May 29, 2023",No,,No,,,,,,,Special-Sitting-May-2023_3
"March 19, 2019",No,,No,,,,,,,17th-Sitting-of-2019_0
"December 6, 2023",Yes,"Kibwana Swaleh, Ogutu, Hassan Mohammed, Juma Manuari, Leila Nyache, Frankline Makanga, Jacktone Madialo, Hamisi Nyota, Athman Mwamwiri, Bernard Ogutu, Katana, Fadhili Makarani",No,,N/A,N/A,N/A,N/A,N/A,105th-Sitting-of-2023_0
"November 2 , 2016",No,,No,,,The discussions were focused on the adoption of the report on draft Mombasa County land policy.,The House adopted the report on draft Mombasa County Land Policy.,The discussions were based on the draft Mombasa County Land Policy report.,,131st-sitting-of-2016_1
"October 25, 2018",No,,Yes,Discussions on the installation of digital high mast street lights in densely populated areas and grading and gravelling of roads.,"Lack of maintenance materials, lack of technicians, lack of working and safety gears, lack of continuous working status of street lighting fleet.","Repairing existing street lights, proper maintenance planning, and site visits to all wards for recommendations.",No decisions made regarding the health sector.,N/A,N/A,89th-Sitting-of-2018_0
"February 20, 2018",No,,No,,,,,,,5th-Sitting-of-2018_0
"May 8, 2018",No,,No,,,,,,,31st-Sitting-of-2018_1
"May 31 , 2018",No,,No,,,,,,,41st-Sitting-of-2018_0
"June 13, 2017",No,,No,,,,,,,70th-sitting-of-2017_1
"January 26, 2023",No,,No,,,,,,,Fourth-Special-Sitting-January-2023_2
"November 27, 2019",Yes,"Hon. Charles Kitula, Hon. Kibwana Swaleh, Hon. Ahmed Salama, Hon. Hamisi Musa Mwidani, Hon. Prischillah Mumba, Hon. Thoya, Hon. Mwalimu Mgwisho",No,,,,,,,114th-Sitting-of-2019_0
"June 15, 2017",No,,No,,,,,,,73rd-Sitting-of-2017_0
"Tuesday, 29th November, 2022",No,,No,,,,,,,17th-Sitting-of-2022_2
"June 30, 2016",No,,No,,,,,,,67th-sitting-of-2016_1
"January 26, 2016",No,,No,,,,,,,5th-sitting-of-2016_2
"March 30, 2017",No,,No,,,,,,,44th-sitting-of-2017_0
"May 7, 2019",No,,No,,,Ensure timely payment of salaries by the County government,,,,39th-Sitting-of-2019_0
"April 13, 2016",No,,No,,,,,,,51st-sitting-of-2016_1
"June 23, 2016",No,,No,,,,,,,63rd-sitting-of-2016_2
"Wednesday, 26th September , 2017",No,,No,,,,,,,3rd-Sitting-of-2017_0
"February 10, 2021",No,,No,,,,,,,3rd-Sitting-of-2021_0
"May 8, 2019",No,,No,,,,,,,40th-Sitting-of-2019_0
"July 31, 2019",No,,No,,,,,,,69th-Sitting-of-2019_1
"November 29, 2022",No,,No,,,,,,,17th-Sitting-of-2022_0
"July 25, 2023",No,,No,,,,,,,47th-Sitting-of-2023_0
"March 3, 2016",No,,Yes,Discussions on the need for public toilets near hospitals and other public areas to improve sanitation.,Lack of public toilets leading to unsanitary conditions and health risks.,Construction of public toilets near hospitals and public areas.,,Observations of unsanitary conditions and discussions on the importance of public toilets for public health.,Public toilet facilities and their impact on public health,28th-sitting-of-2016_0
"March 14, 2018",No,,No,,,,,,,12th-Sitting-of-2018_1
"July 26, 2018",Yes,Hon. Kibwana Swaleh,No,,,,,,,58th_Sitting_of_2018_updted_0
"March 27, 2019",No,,No,,,,,,,22nd-Sitting-of-2019_0
"December 4, 2019",Yes,"Chairperson Committee on Health Services, Hon. Kibwana Swaleh",No,,The electronic version of the Official Hansard Report is for information purposes only. A certified version of this Report can be obtained from the Hansard Editor.,"Ensure fees, charges, levy, and penalties for the Mombasa County Department of Health Services for the year 2018-2019 remain valid until amended.","Fees, charges, levy, and penalties for the Mombasa County Department of Health Services for the year 2018-2019 shall be valid and continue until otherwise amended.",,No evidence requested,118th-Sitting-of-2019_0
"March 16 , 201 7",No,,No,,,,,,,36th-sitting-of-2017_0
"June 23, 2016",No,,No,,,,,,,63rd-sitting-of-2016_4
"July 20, 2016",Yes,"Maimuna S. Mwawasi, Fatuma Swaleh, Patrick Siminyu, Riziki Fundi, Zainab Said Ali",No,,,,,,,75th-sitting-of-2016_1
"December 6, 2023",No,,No,,,,,,,104th-Sitting-of-2023_0
"October 4, 2023",Yes,"Honourable Noor, Honourable Makanga",No,,"The Committee of Finance, Budget, and Appropriations faced challenges regarding non-remittance of statutory deductions by the County government.",Recommendation to bring the CEC before the Assembly to address issues with immediate effect.,No specific decisions made regarding the health sector.,Responses and statements from the Department of Finance and Economic Planning regarding pending loan and remittance of deductions.,No specific health information requested.,75th-Sitting-of-2023_0
"Tuesday, 27th September , 2016",No,,No,,,,,,,109th-sitting-of-2016_0
"February 17 , 2016",No,,No,,,,,,,19th-sitting-of-2016_0
"October 27, 2016",No,,No,,,,,,,128th-sitting-of-2016_0
"August 15, 2018",No,,No,,,,,,,69th_Sitting_of_2018_updted_0
"July 18, 2023",No,,No,,,,,,,45th-Sitting-of-2023_1
"November 9, 2022",No,,No,,,,,,,11th-Sitting-of-2022_0
"October 30, 2019",Yes,"Ali Shomari, Tobias Samba, Murfad Amur, Shebe Athman",No,,,Install mobile container clinics in Magogoni Ward,,,Information on the installation of mobile container clinics in Magogoni Ward,98th-Sitting-of-2019_0
"October 12, 2016",No,,No,,,,,,,119th-sitting-of-2016_0
"June 23, 2020",No,,No,,,,,,,21st-sitting-of-2020_0
"August 2, 2023",Yes,"Honourable Abdulrahman Abdulkadir, Honourable Allen Katana, Honourable Patrick Mbele",No,,"Lack of response from the department of Tourism, Culture and Trade",,Conversion of Bamburi Public Beach into a sanitary landfill,"Response from the department of Tourism, Culture, and Trade",No requests for health evidence,53rd-Sitting-of-2023_1
"July 16, 2019",No,,No,,,,,,,60th-Sitting-of-2019_1
"March 22, 2017",No,,No,,,,,,,39th-sitting-of-2017_1
"September 14 , 2016",No,,No,,,,,,,103rd-sitting-of-2016_0
"February 3, 2017",No,,No,,,,,,,12th-sitting-of-2017_1
"October 3 , 2017",No,,No,,,,,,,6th-Sitting-of-2017_1
"March 14, 2019",No,,No,,,,,,,16th-Sitting-of-2019_0
"June 7, 2023",Yes,Honourable Mwin,No,N/A,N/A,N/A,N/A,N/A,N/A,41st-Sitting-of-2023_2
"Februa ry 22, 202 3",No,,No,,,,,,,12th-Sitting-of-2023_0
"June 23, 2016",No,,No,,,,,,,63rd-sitting-of-2016_1
"February 22, 2023",Yes,"Samir Bhaloo, Hawa Abdulrahman, Allen Katana, Amriya Boy, Hamida Noor",No,,"High risk for children's safety near roads, Overcrowding and delay in service delivery at Coast General Teaching & Referral Hospital","Construct road bumps and paint zebra crossing marks near schools, Upgrade Port Reitz Level 4 Hospital to level 5, Source funds for construction and renovation of health facilities in every ward, Renovate, revamp, improve, and expand Coast General Hospital",,"Constitution of Kenya, Coast General Teaching and Referral Hospital services and challenges, Government partnerships for funding",No health information requested,11th-Sitting-of-2023_0
"November 23, 2016",No,,No,,,,,,,143rd-sitting-of-2016_0
"February 15, 2017",Yes,"Hon. Mwalimu, Hon Fadhili",No,,Lack of hospital fee waivers for community health workers (CHW),Allow CHWs to receive medical treatment without charge or at a reduced rate,None,Request for data on the impact of hospital fees on CHWs,,19th-sitting-of-2017-1_1
"November 30 , 2016",Yes,"Hon (Ms) Akinyi, Hon Faraj, Hon Mohamed Hatimy, Hon Patrick Siminyu, Hon Jimmy Odari, Hon Wangudi Stephen, Hon Saad Faraj, Hon Ahmed Ebrahim Omar, Hon Nasser Rashid",No,,The discussions identified the challenge of determining the jurisdiction and responsibility between the County Government and the National Government regarding issues like asbestos removal in schools.,"The recommendations included collaborating with the National Government to address the issue of asbestos in schools, ensuring proper allocation of funds for health and education, and amending laws to support health initiatives.",No decisions were made specifically related to the health sector.,The discussions were based on the health risks associated with asbestos and the need to prioritize health and safety in schools.,,147th-sitting-of-2016_1
"October 19 , 2016",No,,Yes,Discussions about staff seconded to the County government who were formerly under the National government under the Betting Control and Licensing Board.,"Unprocedural mode of operation of staff, failure to report revenue collected to the County government, and denial of County government revenue.",Stop payment of the seconded staff from the former Betting Control and Licensing Board who are on the County government payroll.,,Internal investigation of revenue flow and operational procedures.,,124th-sitting-of-2016_1
"February 8, 2017",No,,No,,,,,,,14th-sitting-of-2017_1
"October 5, 2017",No,,No,,,,,,,9th-Sitting-of-2017_0
"December 6, 2023",No,,No,,,,,,,104th-Sitting-of-2023_1
"Wednesday, 23rd November, 2022",No,,No,,,Implementing a garbage bin system and collecting garbage at night by county staff,,"Mombasa County Solid Waste Management Act, 2021",,16th-Sitting-of-2022_1
"June 27, 2023",Yes,"Kibwana Baya, Kibwana Swaleh, Noor, Fadhili Makarani, Prischilla Mumba, Matsaki, Mwamwiri, Hamida Noor, Mohammed Khamis, Florence Kachumbo, Patrick Mbelle, Maryam Baimu",No,,"Sewage and blockages, Drainage issues","Increased level for hospitals, Improved networking in water, Increased development plans for each community, Drug rehabilitation programs",No decisions mentioned,Public participation and consultation with stakeholders,,43rd-Sitting-of-2023_0
"June 22, 2016",Yes,"Hon. Mohamed Ndanda, Hon. Zeinab Omar Mumba, Hon. Serah Nyamvula, Hon. Duncan Onyango, Hon. Riziki Fundi, Hon. Karisa Munyika Nzai",No,,"Insecurity issues in the areas represented by Hon. Mohamed Ndanda, including incidents of killings and harassment due to lack of security measures.",To involve the Security committee team of Mombasa to address insecurity issues and ensure the security of residents.,,Incidents of insecurity and killings in the areas of concern.,,61st-sitting-of-2016_2
"April 10, 2019",Yes,"Hon. Mwaka Bakari, Hon. Fadhili, Hon. Bernard Ogutu, Hon. Charles Kitula, Hon. Ibrahim Omondi, Hon. Tobias Samba, Hon. Shebe Athumani, Hon. Renson Thoya",No,,"The delay in responding to health issues, concerns about the implementation of solutions, and the need for physical presence of health officials","Site visits to assess health facilities, allocation of resources for health infrastructure, and addressing concerns about staff working conditions",No decisions mentioned,"Public complaints, personal observations, and requests for site visits",,30th-Sitting-of-2019_0
"May 11 , 2017",No,,No,,,,,,,54th-sitting-of-2017_0
"April 14, 2016",No,,No,,,,,,,52nd-sitting-of-2016_1
"February 15, 2022",No,,No,,,,,,,6th-Sitting-of-2022_0
"February 21, 2019",No,,No,,,,,,,8th-Sitting-of-2019_1
"October 3, 2018",No,,Yes,Discussions about the construction of two desalination plants within the County of Mombasa were held to address the acute water shortage and the provision of clean water for the residents.,The challenges of sustaining the desalination plants due to expenses and the need for continuous maintenance were identified.,,No decisions were made regarding financing the health sector.,Discussions were based on the historical water shortage issues in the County of Mombasa and the pivotal role of water in the health and development of the economy.,,77th-Sitting-of-2018_1
"October 4, 2016",Yes,"Andrew Mativo, Jared Oget, Jerusa Wangare",No,,Lack of legal framework for evictions,Enacting eviction and resettlement law for Mombasa County,Committee on Physical Planning and Lands and Committee on Justice and Legal Affairs to handle the petition,Petition from civil societies regarding forced evictions in slums,,114th-sitting-of-2016_0
"March 2, 2016",No,,No,,,,,,,26th-sitting-of-2016_0
"July 3, 2019",No,,No,,,,,,,53rd-Sitting-of-2019_0
"June 29, 2020",No,,No,,,,,,,23rd-Sitting-of-2020_0
"October 29, 2019",No,,No,,,,,,,95th-Sitting-of-2019_0
"April 10, 2019",No,,No,,,,,,,31st-Sitting-of-2019_0
"September 5, 2023",No,,No,,,,,,,59th-Sitting-of-2023_0
"June 27, 2018",Yes,"Kibwana Baya, Kibwana Swaleh, Kitula, Mwalimu, Mwaka Bakari, Bwire, Mwalimu Mgwisho, Nyiro, Thoya, Shebe Athman, Faith Mwende",No,,The challenges of relocating persons under methadone prescription at Kisauni Dispensary and Frere Town due to overcrowding and the need to decongest the hospitals.,"Relocation or creation of designated areas for methadone users in Likoni Sub-County, Shika Adabu Hospital, and Port Reitz; Suggestion to relocate methadone users to closed areas to prevent interactions with the community.",,"Reports, conversations, and statements provided by the Department of Health regarding the relocation of methadone users.",No specific health information was requested.,47th-Sitting-of-2018_0
"September 18 , 2019",No,,No,,,,,,,81st-Sitting-of-2019_1
"October 17, 2017",No,,No,,,,,,,14th-Sitting-of-2017_0
"October 30, 2018",No,,No,,,,,,,90th-Sitting-of-2018_1
"October 7, 2020",No,,No,,,,,,,52nd-Sitting-of-2020_0
"December 7 , 202 2",Yes,"Bernard Ogutu, Fatma Swaleh",No,,,,,,,24th-Sitting-of-2022_0
"May 9, 2023",No,,No,,,,,,,30th-Sitting-of-2023_0
"June 16, 2016",No,,No,,,,,,,59th-sitting-of-2016_0
"November 14, 2023",No,,No,,,,,,,90th-Sitting-of-2023_0
"April 23, 2019",No,,No,,,,,,,33rd-Sitting-of-2019_0
"April 5 , 202 3",No,,No,,,,,,,29th-Sitting-of-2023-1_0
"April 7, 2016",Yes,"Hon. (Mrs.) Nyamvula, Hon. Faraj, Hon. Ahmed Ebrahim Omar, Hon. Saad Faraj, Hon. Serah Nyamvula, Hon. Meti",No,,"Implementation of the 30 percent procurement rule for women, Persons Living with Disabilities (PWDs), and youths","Review and implementation of the 30 percent procurement rule for youths, gender, and sports",To give one week for Hon. Meti to come back with a comprehensive answer regarding the implementation of the 30 percent procurement plan,Statements and discussions made during the Assembly debates,,48th-sitting-of-2016_1
"February 28, 2017",No,,No,,,,,,,25th-sitting-of-2017_0
"August 31 , 2016",Yes,"Hon. Kibwana Swaleh, Hon. Sheillah Mumba, Hon. Prischillah Mumba",No,,"Shortage of medicine, inadequate staff, patients seeking shortcuts","Employ more staff, further improve service delivery",,Observations and findings from the visit to the Coast Provincial General Hospital,,95th-sitting-of-2016_0
"October 3 , 2018",No,,No,,,,,,,78th-Sitting-of-2018_1
"April 18, 2017",No,,No,,,,,,,45th-sitting-of-2017_0
"February 20, 2019",No,,No,,,,,,,7th-Sitting-of-2019_0
"February 16, 2021",No,,No,,,,,,,6th-Sitting-of-2021_0
"July 19, 2018",No,,No,,,,,,,53rd_Sitting_of_2018_updted_1
"September 22, 2016",No,,No,,,,,,,108th-sitting-of-2016_0
"September 19, 2023",No,,No,,,,,,,65th-Sitting-of-2023_0
"November 24, 2016",No,,No,,,,,,,144th-sitting-of-2016_0
"October 30, 2019",No,,No,,,,,,,97th-Sitting-of-2019_0
"July 13, 2016",No,,No,,,,,,,71st-sitting-of-2016_0
"September 30, 2020",No,,No,,,,,,,48th-Sitting-of-2020_0
"October 17, 2018",No,,No,,,,,,,83th-Sitting-of-2018_0
"April 14, 2016",No,,No,,,,,,,52nd-sitting-of-2016_0
"April 24, 2019",No,,No,,,,,,,34th-Sitting-of-2019_0
"July 21, 2016",Yes,"Hon. Patrick Siminyu, Hon. Fadhili Mwalimu, Hon. Mohamed Hatimy, Hon. (Mrs.) Priscillah Mumba, Hon. Kibwana Swaleh, Hon. Fatuma Mote",No,,Emergency treatment processes at Coast General Hospital,Improve emergency service processes at Coast General Hospital,No specific decisions made,Observations and experiences shared during the discussions,,76th-sitting-of-2016_1
"February 3, 2016",No,,No,,,,,,,10th-sitting-of-2016_1
"January 20, 2016",Yes,"Hon. (Ms.) Akinyi, Deputy Speaker (Hon. Mswabah Rashid), Hon. Ibrahim Kondo, Hon. Mohamed Ndanda, Hon. Stephen Wangudi, Hon. Mohamed Hatimy, Hon. Mary Akinyi, Hon. Fundi",No,,Issues with sewage management near Airport and St. Andrews Church were raised during the session.,Recommendations were made to address sewage problems and improve access to healthcare facilities like Coast General Hospital.,,Issues and complaints raised by the members during the session.,,2nd-sitting-of-2016_0
"October 5 , 2016",No,,No,,,,,,,115th-sitting-of-2016_0
"September 25, 2019",No,,No,,,,,,,85th-Sitting-of-2019_0
"December 14, 2016",No,,No,,,,,,,154th-sitting-of-2016_0
"July 10, 2019",No,,No,,,,,,,56th-Sitting-of-2019_0
